team,confederation
Albania,UEFA
Andorra,UEFA
Armenia,UEFA
Austria,UEFA
Azerbaijan,UEFA
Belarus,UEFA
Belgium,UEFA
Bosnia and Herzegovina,UEFA
Bulgaria,UEFA
Croatia,UEFA
Cyprus,UEFA
Czechia,UEFA
Denmark,UEFA
England,UEFA
Estonia,UEFA
Faroe Islands,UEFA
Finland,UEFA
France,UEFA
Georgia,UEFA
Germany,UEFA
Gibraltar,UEFA
Greece,UEFA
Hungary,UEFA
Iceland,UEFA
Ireland,UEFA
Italy,UEFA
Kazakhstan,UEFA
Kosovo,UEFA
Latvia,UEFA
Liechtenstein,UEFA
Lithuania,UEFA
Luxembourg,UEFA
Malta,UEFA
Moldova,UEFA
Monaco,UEFA
Montenegro,UEFA
Netherlands,UEFA
North Macedonia,UEFA
Northern Ireland,UEFA
Norway,UEFA
Poland,UEFA
Portugal,UEFA
Romania,UEFA
Russia,UEFA
San Marino,UEFA
Scotland,UEFA
Serbia,UEFA
Slovakia,UEFA
Slovenia,UEFA
Spain,UEFA
Sweden,UEFA
Switzerland,UEFA
Turkey,UEFA
Ukraine,UEFA
Wales,UEFA
Argentina,CONMEBOL
Bolivia,CONMEBOL
Brazil,CONMEBOL
Chile,CONMEBOL
Colombia,CONMEBOL
Ecuador,CONMEBOL
Paraguay,CONMEBOL
Peru,CONMEBOL
Uruguay,CONMEBOL
Venezuela,CONMEBOL
Antigua and Barbuda,CONCACAF
Bahamas,CONCACAF
Barbados,CONCACAF
Belize,CONCACAF
Bermuda,CONCACAF
Canada,CONCACAF
Costa Rica,CONCACAF
Cuba,CONCACAF
Dominica,CONCACAF
Dominican Republic,CONCACAF
El Salvador,CONCACAF
Grenada,CONCACAF
Guatemala,CONCACAF
Haiti,CONCACAF
Honduras,CONCACAF
Jamaica,CONCACAF
Mexico,CONCACAF
Nicaragua,CONCACAF
Panama,CONCACAF
Saint Kitts and Nevis,CONCACAF
Saint Lucia,CONCACAF
Trinidad and Tobago,CONCACAF
United States,CONCACAF
Afghanistan,AFC
Australia,AFC
Bahrain,AFC
Bangladesh,AFC
Bhutan,AFC
Brunei,AFC
Cambodia,AFC
China,AFC
Hong Kong,AFC
India,AFC
Indonesia,AFC
Iran,AFC
Iraq,AFC
Japan,AFC
Jordan,AFC
Kuwait,AFC
Kyrgyzstan,AFC
Laos,AFC
Lebanon,AFC
Malaysia,AFC
Maldives,AFC
Mongolia,AFC
Myanmar,AFC
Nepal,AFC
North Korea,AFC
Oman,AFC
Pakistan,AFC
Palestine,AFC
Philippines,AFC
Qatar,AFC
Saudi Arabia,AFC
Singapore,AFC
South Korea,AFC
Sri Lanka,AFC
Syria,AFC
Tajikistan,AFC
Thailand,AFC
Turkmenistan,AFC
United Arab Emirates,AFC
Uzbekistan,AFC
Vietnam,AFC
Yemen,AFC
Algeria,CAF
Angola,CAF
Benin,CAF
Botswana,CAF
Burkina Faso,CAF
Burundi,CAF
Cameroon,CAF
Cape Verde,CAF
Central African Republic,CAF
Chad,CAF
Comoros,CAF
Congo,CAF
DR Congo,CAF
Egypt,CAF
Equatorial Guinea,CAF
Eritrea,CAF
Ethiopia,CAF
Gabon,CAF
Gambia,CAF
Ghana,CAF
Guinea,CAF
Guinea-Bissau,CAF
Ivory Coast,CAF
Kenya,CAF
Lesotho,CAF
Liberia,CAF
Libya,CAF
Madagascar,CAF
Malawi,CAF
Mali,CAF
Mauritania,CAF
Mauritius,CAF
Morocco,CAF
Mozambique,CAF
Namibia,CAF
Niger,CAF
Nigeria,CAF
Rwanda,CAF
Senegal,CAF
Sierra Leone,CAF
Somalia,CAF
South Africa,CAF
South Sudan,CAF
Sudan,CAF
Tanzania,CAF
Togo,CAF
Tunisia,CAF
Uganda,CAF
Zambia,CAF
Zimbabwe,CAF
American Samoa,OFC
Cook Islands,OFC
Fiji,OFC
New Caledonia,OFC
New Zealand,OFC
Papua New Guinea,OFC
Samoa,OFC
Solomon Islands,OFC
Tahiti,OFC
Tonga,OFC
Vanuatu,OFC
Anguilla,CONCACAF
Aruba,CONCACAF
Bonaire,CONCACAF
British Virgin Islands,CONCACAF
Cayman Islands,CONCACAF
Curaçao,CONCACAF
French Guiana,CONCACAF
Guadeloupe,CONCACAF
Guyana,CONCACAF
Martinique,CONCACAF
Montserrat,CONCACAF
Puerto Rico,CONCACAF
Saint Barthelemy,CONCACAF
Saint Martin,CONCACAF
Sint Eustatius,CONCACAF
Sint Maarten,CONCACAF
St Vincent & Grenadines,CONCACAF
Suriname,CONCACAF
Turks and Caicos Islands,CONCACAF
US Virgin Islands,CONCACAF
East Germany,UEFA
Greenland,UEFA
Israel,UEFA
Northern Cyprus,UEFA
Saar,UEFA
Chagos Islands,AFC
East Timor,AFC
Guam,AFC
Kurdistan,AFC
Macao,AFC
North Vietnam,AFC
North Yemen,AFC
Northern Mariana Islands,AFC
Taiwan,AFC
Tibet,AFC
Djibouti,CAF
Eswatini,CAF
Mayotte,CAF
Reunion,CAF
Sao Tome and Principe,CAF
Seychelles,CAF
Zanzibar,CAF
FS Micronesia,OFC
Falkland Islands,OFC
Kiribati,OFC
Niue,OFC
Palau,OFC
Saint Pierre and Miquelon,OFC
Tuvalu,OFC
Wallis and Futuna,OFC
Western Samoa,OFC
